"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"80605","FRB 20210402A","05:07:55.000","+26:01:60.00","FRB","20201124A","414","3","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB210402.242","","","1","1","2021-04-03","","","2021-04-02 05:48:59.114","Kumar","","2021TNSFR1033....1K","",""
"92662","FRB 20210401B","05:08:03.000","+26:03:39.00","FRB","20201124A","421","2","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB210401.455","","","1","1","2021-09-25","","","2021-04-01 10:55:43.798","Kumar","","2021TNSFR3316....1K","",""
"80482","FRB 20210401A","05:06:60.000","+25:52:60.00","FRB","20201124A","412","3","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB210401","","","1","1","2021-04-02","","","2021-04-01 11:33:01.660","Shannon","","2021TNSFR1010....1S","",""
"80253","FRB 20210328A","05:08:28.800","+26:11:24.00","FRB","20201124A","415.7","1.62","pc/cc","140.39","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_166119493","","","1","1","2021-03-31","","","2021-03-28 00:49:08.222","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"80252","FRB 20210327C","05:08:33.600","+26:11:24.00","FRB","20201124A","422.17","1.62","pc/cc","140.39","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_166030290","","","1","1","2021-03-31","","","2021-03-27 00:53:10.696","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"80251","FRB 20210327B","05:08:33.600","+26:11:24.00","FRB","20201124A","411.25","0.4","pc/cc","140.58","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_166030287","","","1","1","2021-03-31","","","2021-03-27 00:53:10.546","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"80250","FRB 20210327A","05:03:38.400","+26:11:24.00","FRB","20201124A","416.51","0.81","pc/cc","140.39","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_166030118","","","1","1","2021-03-31","","","2021-03-27 00:46:22.270","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"80249","FRB 20210326A","05:07:09.600","+26:11:24.00","FRB","20201124A","412.46","1.62","pc/cc","140.58","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_165803079","","","1","1","2021-03-31","","","2021-03-26 00:53:51.088","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"80248","FRB 20210323A","05:13:16.800","+26:12:00.00","FRB","20201124A","414.89","0.81","pc/cc","148.89","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_165547790","","","1","1","2021-03-31","","","2021-03-23 01:08:04.102","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"80247","FRB 20210322A","05:08:21.600","+26:11:24.00","FRB","20201124A","410.04","0.81","pc/cc","140.58","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_165393253","","","1","1","2021-03-31","","","2021-03-22 01:10:44.315","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"80246","FRB 20210321A","05:07:50.400","+26:11:24.00","FRB","20201124A","412.46","1.62","pc/cc","140.58","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_165254133","","","1","1","2021-03-31","","","2021-03-21 01:12:22.524","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"124384","FRB 20210320C","13:37:16.800","-15:24:37.30","FRB","","384.8","0.3","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB210320","","","1","1","","0","Other-","2021-03-20 18:38:08.508","Shannon","","2023TNSFR.287....1S","",""
"78144","FRB 20210303A","22:15:52.300","-46:05:32.00","FRB","","366.9","","pc/cc","37.4","NE2001","","","","","UTMOST","UTMOST","","UTMOST","","","","1","1","","0","Other-","2021-03-03 01:28:46.900","Gupta","","2021TNSFR.666....1G","",""
"80245","FRB 20210301A","05:01:55.200","+26:10:48.00","FRB","20201124A","417.3","3.23","pc/cc","132.42","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_162792037","","","1","1","2021-03-31","","","2021-03-01 02:28:45.287","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"80244","FRB 20210220A","05:07:48.000","+26:11:24.00","FRB","20201124A","418.93","1.62","pc/cc","140.39","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_160542826","","","1","1","2021-03-31","","","2021-02-20 03:06:22.953","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
"124383","FRB 20210214G","00:27:43.000","-05:49:56.00","FRB","","398.3","0.7","pc/cc","","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB210214","","","1","1","","0","Other-","2021-02-14 05:12:39.696","Shannon","","2023TNSFR.287....1S","",""
"79008","FRB 20210213A","12:46:57.600","+83:07:12.00","FRB","","481.61","0.4","pc/cc","45.75","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_157646917","","","1","1","2022-03-11","","","2021-02-13 11:12:12.982","CHIME_FRB_bot","","2022TNSFR.693....1C","",""
"79007","FRB 20210206A","03:35:57.600","+52:43:48.00","FRB","","361.51","0.81","pc/cc","191.12","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_156410110","","","1","1","2022-03-11","","","2021-02-06 02:35:34.690","CHIME_FRB_bot","","2022TNSFR.693....1C","",""
"105460","FRB 20210202D","19:46:48.740","-54:13:38.80","FRB","","609.16","0.57","pc/cc","69","NE2001","","","","","MeerTRAP","MeerTRAP","","MeerTRAP","","","","1","1","2023-02-21","","","2021-02-02 12:38:25.339","Jankowski","","2023TNSFR.412....1J","",""
"75807","FRB 20210117A","22:39:36.000","-16:11:25.20","FRB","","730","1","pc/cc","34.4","NE2001","","","","","CRAFT","CRAFT","","CRAFT","FRB210117","","","1","1","","0","Other-","2021-01-17 07:51:21.277","Kumar","","2021TNSFR.208....1K","",""
"80242","FRB 20201216A","05:07:38.400","+26:11:24.00","FRB","20201124A","409.23","1.62","pc/cc","140.58","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_147503727","","","1","1","2021-03-31","","","2020-12-16 07:29:19.411","CHIME_FRB_bot","","2021TNSFR.990....1C","",""
