"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"56441","FRB 20200221A","02:15:02.400","+65:43:48.00","FRB","20180916B","342.91","6.47","pc/cc","190.95","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","73909400","","","1","1","2020-03-27","","","2020-02-21 00:09:48.615","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"65029","FRB 20200220D","01:58:00.750","+65:43:00.31","FRB","20180916B","350.1","0.1","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","1.4","Other-","2020-02-20 13:48:53.200","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65028","FRB 20200220C","01:58:00.750","+65:43:00.31","FRB","20180916B","349.4","0.1","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","1.5","Other-","2020-02-20 13:37:39.437","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65027","FRB 20200220B","01:58:00.750","+65:43:00.31","FRB","20180916B","349.8","0.1","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","2.8","Other-","2020-02-20 13:28:25.983","FRBCAT_bot","","2020TNSFR2470....1P","",""
"56440","FRB 20200220A","01:59:24.000","+65:43:12.00","FRB","20180916B","352.61","3.23","pc/cc","198.04","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","73726599","","","1","1","2020-03-27","","","2020-02-20 00:10:09.913","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56439","FRB 20200219A","01:43:04.800","+65:42:36.00","FRB","20180916B","346.14","3.23","pc/cc","199.8","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","73725034","","","1","1","2020-03-27","","","2020-02-19 23:53:36.995","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56438","FRB 20200204E","02:07:55.200","+65:43:48.00","FRB","20180916B","347.76","1.62","pc/cc","193.22","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","71785167","","","1","1","2020-03-27","","","2020-02-04 01:17:21.373","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56437","FRB 20200204D","01:57:55.200","+65:43:48.00","FRB","20180916B","347.76","1.62","pc/cc","198.7","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","71784833","","","1","1","2020-03-27","","","2020-02-04 01:03:26.182","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56436","FRB 20200204C","01:58:33.600","+65:43:48.00","FRB","20180916B","351","1.62","pc/cc","104.32","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","71784510","","","1","1","2020-03-27","","","2020-02-04 00:59:50.322","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56435","FRB 20200204B","01:56:02.400","+65:43:48.00","FRB","20180916B","346.14","3.23","pc/cc","199.53","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","71784400","","","1","1","2020-03-27","","","2020-02-04 00:57:31.674","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56434","FRB 20200204A","01:26:33.600","+72:18:36.00","FRB","20180916B","370.41","1.62","pc/cc","135.6","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","71780218","","","1","1","2020-03-27","","","2020-02-04 00:26:54.805","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56433","FRB 20200203A","01:57:57.600","+65:43:48.00","FRB","20180916B","351","1.62","pc/cc","198.56","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","71665813","","","1","1","2020-03-27","","","2020-02-03 01:07:23.100","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"64644","FRB 20200125A","14:36:31.580","+07:42:06.84","FRB","","179.47","0.05","pc/cc","25","NE2001","2020-01-25 12:15:19.610","","","","GBNCC","GBNCC","","GBNCC","","","","1","1","","0","Other-","2020-01-25 12:15:19.600","Parent","","2020TNSFR2395....1P","",""
"56432","FRB 20200124B","19:39:57.600","+59:24:00.00","FRB","20190417A","1378.11","6.47","pc/cc","78.36","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","70381816","","","1","1","2020-03-27","","","2020-01-24 19:24:33.448","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56431","FRB 20200124A","18:53:24.000","+46:57:36.00","FRB","20190208A","575.83","6.47","pc/cc","71.79","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","70375108","","","1","1","2020-03-27","","","2020-01-24 18:42:58.257","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56430","FRB 20200122G","10:36:45.600","+73:44:24.00","FRB","20181030A","101.9","1.62","pc/cc","40.61","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","69978377","","","1","1","2020-03-27","","","2020-01-22 22:23:20.336","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56429","FRB 20200122F","10:35:45.600","+73:44:24.00","FRB","20181030A","105.14","1.62","pc/cc","41.01","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","69978272","","","1","1","2020-03-27","","","2020-01-22 22:22:21.385","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56428","FRB 20200122E","10:11:33.600","+73:44:24.00","FRB","20181030A","106.75","3.23","pc/cc","40.61","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","69975309","","","1","1","2020-03-27","","","2020-01-22 22:09:52.403","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56427","FRB 20200122D","10:11:14.400","+73:44:24.00","FRB","20181030A","101.9","1.62","pc/cc","40.61","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","69975256","","","1","1","2020-03-27","","","2020-01-22 22:09:30.870","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56426","FRB 20200122C","10:32:50.400","+73:48:00.00","FRB","20181030A","106.75","3.23","pc/cc","40.61","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","69848458","","","1","1","2020-03-27","","","2020-01-22 10:28:20.297","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56425","FRB 20200122B","10:31:28.800","+73:48:00.00","FRB","20181030A","101.9","1.62","pc/cc","40.61","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","69848452","","","1","1","2020-03-27","","","2020-01-22 10:27:00.443","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56424","FRB 20200122A","10:30:50.400","+73:47:24.00","FRB","20181030A","101.9","1.62","pc/cc","40.61","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","69841193","","","1","1","2020-03-27","","","2020-01-22 10:20:32.574","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"67961","FRB 20200120E","09:45:00.000","+68:46:12.00","FRB","20200120E","88.96","1.62","pc/cc","41.62","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_69541452","","","1","1","2021-04-23","","","2020-01-20 09:57:36.006","CHIME_FRB_bot","","2021TNSFR1346....1C","",""
"65025","FRB 20200120D","01:58:00.750","+65:43:00.31","FRB","20180916B","348.8","0.2","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","0.98","Other-","2020-01-20 02:04:59.206","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65024","FRB 20200120C","01:58:00.750","+65:43:00.31","FRB","20180916B","348.7","0.2","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","1.3","Other-","2020-01-20 02:01:51.075","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65023","FRB 20200120B","01:58:00.750","+65:43:00.31","FRB","20180916B","348.9","0.1","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","2.28","Other-","2020-01-20 01:58:23.326","FRBCAT_bot","","2020TNSFR2470....1P","",""
"56423","FRB 20200120A","01:44:45.600","+65:43:48.00","FRB","20180916B","346.14","3.23","pc/cc","199.8","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","69509443","","","1","1","2020-03-27","","","2020-01-20 01:49:14.069","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56422","FRB 20200112A","13:51:07.200","+48:15:00.00","FRB","20190303A","223.21","3.23","pc/cc","29.36","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","68602622","","","1","1","2020-03-27","","","2020-01-12 14:26:34.117","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56421","FRB 20191231A","14:00:09.600","+48:15:00.00","FRB","20190303A","223.21","3.23","pc/cc","29.73","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","66995325","","","1","1","2020-03-27","","","2019-12-31 15:17:49.519","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"64993","FRB 20191228A","22:56:60.000","-29:46:00.00","FRB","","297.9","0.5","pc/cc","33","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB191228","","","1","1","","0","Clear-","2019-12-28 09:16:16.444","FRBCAT_bot","","2020TNSFR2470....1P","",""
"64992","FRB 20191223B","20:34:14.140","-75:08:54.19","FRB","","665","","pc/cc","60","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB191223","","","1","1","","0","Other-","2019-12-23 04:55:31.200","FRBCAT_bot","","2020TNSFR2470....1P","",""
"56420","FRB 20191223A","22:12:50.400","+17:22:12.00","FRB","20190117A","394.67","6.47","pc/cc","47.03","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","65982134","","","1","1","2020-03-27","","","2019-12-23 00:07:07.130","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"79006","FRB 20191221A","02:57:21.600","+79:43:12.00","FRB","","388.19","25.88","pc/cc","85.04","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","chimefrb_65777546","","","1","1","2022-03-11","","","2019-12-21 04:52:00.326","CHIME_FRB_bot","","2022TNSFR.693....1C","",""
"56419","FRB 20191220A","18:26:00.000","+81:24:00.00","FRB","20190212A","304.09","6.47","pc/cc","52.72","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","65628049","","","1","1","2020-03-27","","","2019-12-20 08:37:39.792","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"65594","FRB 20191219F","15:05:09.600","+85:26:24.00","FRB","","464.22","1.62","pc/cc","49.39","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","65547659","","","1","1","2020-08-31","","","2019-12-19 16:51:34.391","CHIME_FRB_bot","","2020TNSFR2695....1C","",""
"65022","FRB 20191219E","01:58:00.750","+65:43:00.31","FRB","20180916B","349.5","0.3","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","3.58","Other-","2019-12-19 04:13:19.334","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65021","FRB 20191219D","01:58:00.750","+65:43:00.31","FRB","20180916B","348.8","0.4","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","1.09","Other-","2019-12-19 04:03:47.256","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65020","FRB 20191219C","01:58:00.750","+65:43:00.31","FRB","20180916B","348.8","0.4","pc/cc","200","NE2001","","","","0.0337","FRBCAT","FRBCAT","","FRBCAT","FRB20180916B","","","1","1","","1.24","Other-","2019-12-19 04:03:47.195","FRBCAT_bot","","2020TNSFR2470....1P","",""
"56418","FRB 20191219B","01:57:07.200","+65:43:48.00","FRB","20180916B","351","1.62","pc/cc","198.62","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","65511653","","","1","1","2020-03-27","","","2019-12-19 04:11:18.252","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56417","FRB 20191219A","01:57:21.600","+65:43:48.00","FRB","20180916B","352.61","3.23","pc/cc","198.56","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","65511496","","","1","1","2020-03-27","","","2019-12-19 04:07:38.822","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56416","FRB 20191218A","01:59:14.400","+65:43:48.00","FRB","20180916B","355.85","6.47","pc/cc","198.19","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","65395717","","","1","1","2020-03-27","","","2019-12-18 04:09:27.634","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56415","FRB 20191217A","18:26:33.600","+81:24:36.00","FRB","20190212A","304.09","6.47","pc/cc","52.67","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","65300794","","","1","1","2020-03-27","","","2019-12-17 08:38:55.859","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56414","FRB 20191215A","13:53:02.400","+48:15:00.00","FRB","20190303A","223.21","3.23","pc/cc","29.37","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","65049940","","","1","1","2020-03-27","","","2019-12-15 16:13:43.384","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56413","FRB 20191205A","12:41:19.200","+65:07:48.00","FRB","20181119A","368.79","6.47","pc/cc","34.02","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","63705597","","","1","1","2020-03-27","","","2019-12-05 15:44:15.106","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56412","FRB 20191202A","12:25:52.800","+65:07:48.00","FRB","20181119A","375.26","12.94","pc/cc","34.19","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","63563443","","","1","1","2020-03-27","","","2019-12-02 15:44:29.327","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56411","FRB 20191117A","14:02:55.200","+48:15:00.00","FRB","20190303A","226.45","6.47","pc/cc","29.73","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","62551744","","","1","1","2020-03-27","","","2019-11-17 18:18:31.470","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"56410","FRB 20191116A","13:52:40.800","+48:14:24.00","FRB","20190303A","221.6","1.62","pc/cc","29.37","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","62352548","","","1","1","2020-03-27","","","2019-11-16 18:09:51.184","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
