"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"64928","FRB 20151125A","01:30:60.000","+30:58:48.00","FRB","","273","4","pc/cc","50.2","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB151125","","","1","1","","0.54","Clear-","2015-11-25 15:42:36.000","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65010","FRB 20151119D","05:31:58.000","+33:08:04.00","FRB","20121102A","560","6.4","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.09","S-Band-GUPPI","2015-11-19 11:05:52.492","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65009","FRB 20151119C","05:31:58.000","+33:08:04.00","FRB","20121102A","560","","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.02","S-Band-GUPPI","2015-11-19 10:58:56.234","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65008","FRB 20151119B","05:31:58.000","+33:08:04.00","FRB","20121102A","568.8","6.6","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.04","S-Band-GUPPI","2015-11-19 10:51:34.957","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65007","FRB 20151119A","05:31:58.000","+33:08:04.00","FRB","20121102A","565.1","5.2","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.06","S-Band-GUPPI","2015-11-19 10:44:40.524","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65006","FRB 20151113A","05:31:58.000","+33:08:04.00","FRB","20121102A","559.9","7.1","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.04","S-Band-GUPPI","2015-11-13 08:32:42.375","FRBCAT_bot","","2020TNSFR2470....1P","",""
"64927","FRB 20151018A","05:20:60.000","+33:06:00.00","FRB","","570","5","pc/cc","275","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB151018","","","1","1","","1.4","Clear-","2015-10-18 01:05:48.000","FRBCAT_bot","","2020TNSFR2470....1P","",""
"64926","FRB 20150807A","22:42:31.000","-55:04:42.00","FRB","","266.5","0.1","pc/cc","36.9","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB150807","","","1","1","","128","BPSR-MB20","2015-08-07 17:53:55.830","FRBCAT_bot","","2020TNSFR2470....1P","",""
"64925","FRB 20150610A","10:44:26.000","-40:05:23.00","FRB","","1593.9","0.6","pc/cc","122","YMW16","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB150610","","","1","1","","0.7","BPSR-MB20","2015-06-10 05:26:59.396","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65005","FRB 20150602H","05:31:55.000","+33:08:13.00","FRB","20121102A","556.5","1.1","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.31","Other-","2015-06-02 17:57:32.020","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65004","FRB 20150602G","05:31:55.000","+33:08:13.00","FRB","20121102A","558.7","4.9","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.05","Other-","2015-06-02 17:56:34.787","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65003","FRB 20150602F","05:31:55.000","+33:08:13.00","FRB","20121102A","557.4","3.7","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.05","Other-","2015-06-02 17:53:45.528","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65002","FRB 20150602E","05:31:55.000","+33:08:13.00","FRB","20121102A","556.5","3.7","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.14","Other-","2015-06-02 17:50:39.298","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65001","FRB 20150602D","05:31:55.000","+33:08:13.00","FRB","20121102A","559","","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.02","Other-","2015-06-02 17:49:41.319","FRBCAT_bot","","2020TNSFR2470....1P","",""
"65000","FRB 20150602C","05:31:55.000","+33:08:13.00","FRB","20121102A","559","10","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.02","Other-","2015-06-02 17:49:18.627","FRBCAT_bot","","2020TNSFR2470....1P","",""
"64999","FRB 20150602B","05:32:01.000","+33:07:53.00","FRB","20121102A","558","10","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.02","Other-","2015-06-02 16:47:36.484","FRBCAT_bot","","2020TNSFR2470....1P","",""
"64998","FRB 20150602A","05:32:01.000","+33:07:53.00","FRB","20121102A","555","3","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.04","Other-","2015-06-02 16:38:07.575","FRBCAT_bot","","2020TNSFR2470....1P","",""
"64997","FRB 20150517B","05:32:01.000","+33:07:56.00","FRB","20121102A","566","10","pc/cc","188","NE2001","","","","0.19273","FRBCAT","FRBCAT","","FRBCAT","FRB121102","","","1","1","","0.03","Other-","2015-05-17 17:51:40.921","FRBCAT_bot","","2020TNSFR2470....1P","",""
