"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"61450","FRB 20190130A","01:42:48.000","+13:09:36.00","FRB","","1365.17","6.47","pc/cc","37.45","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28752329","","","1","1","2021-06-09","","","2019-01-30 01:04:37.251","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"61462","FRB 20190129A","03:00:16.800","+21:24:36.00","FRB","","478.78","12.94","pc/cc","51.96","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28680249","","","1","1","2021-06-09","","","2019-01-29 02:25:50.110","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"61459","FRB 20190128D","21:02:36.000","+09:32:24.00","FRB","","428.64","1.62","pc/cc","63.72","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28659685","","","1","1","2021-06-09","","","2019-01-28 18:24:33.601","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"61458","FRB 20190128C","04:40:24.000","+78:56:24.00","FRB","","304.09","6.47","pc/cc","71.35","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28649531","","","1","1","2021-06-09","","","2019-01-28 16:11:22.618","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"61454","FRB 20190128B","08:29:52.800","+23:17:24.00","FRB","","247.48","1.62","pc/cc","57.21","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28636024","","","1","1","2021-06-09","","","2019-01-28 08:02:01.982","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"61448","FRB 20190128A","01:27:19.200","+24:51:00.00","FRB","","695.52","3.23","pc/cc","43.77","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28581520","","","1","1","2021-06-09","","","2019-01-28 01:00:34.748","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"61456","FRB 20190127B","10:02:26.400","+83:33:36.00","FRB","","666.41","6.47","pc/cc","48.98","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28499031","","","1","1","2021-06-09","","","2019-01-27 09:23:21.243","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"55097","FRB 20190126A","01:45:04.800","+65:43:48.00","FRB","20180916B","351","1.62","pc/cc","199.73","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28293423","","","1","1","2020-03-27","","","2019-01-26 01:32:45.331","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"61477","FRB 20190125B","15:29:21.600","+50:21:00.00","FRB","","177.92","3.23","pc/cc","33.39","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28210057","","","1","1","2021-06-09","","","2019-01-25 15:03:39.882","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"55697","FRB 20190125A","03:03:04.800","+27:49:12.00","FRB","","562.89","6.47","pc/cc","60.42","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28155013","","","1","1","2021-06-09","","","2019-01-25 02:44:17.347","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55696","FRB 20190124F","22:35:52.800","+05:18:36.00","FRB","","253.95","1.62","pc/cc","37.7","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28129879","","","1","1","2021-06-09","","","2019-01-24 22:19:33.073","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55695","FRB 20190124E","19:51:09.600","+20:33:36.00","FRB","","614.65","6.47","pc/cc","389.87","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28097727","","","1","1","2021-06-09","","","2019-01-24 19:36:51.360","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55694","FRB 20190124D","15:47:57.600","+81:13:48.00","FRB","","341.29","1.62","pc/cc","45.96","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28021224","","","1","1","2021-06-09","","","2019-01-24 15:30:30.354","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55693","FRB 20190124C","14:28:43.200","+28:13:12.00","FRB","","302.47","1.62","pc/cc","21.49","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28013095","","","1","1","2021-06-09","","","2019-01-24 14:14:22.569","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55692","FRB 20190124B","14:18:55.200","+28:48:00.00","FRB","","446.43","6.47","pc/cc","21.62","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","28012492","","","1","1","2021-06-09","","","2019-01-24 14:07:34.174","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55691","FRB 20190124A","03:21:43.200","+51:34:48.00","FRB","","1274.59","6.47","pc/cc","176.07","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","27954839","","","1","1","2021-06-09","","","2019-01-24 03:06:15.471","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55689","FRB 20190122C","15:27:55.200","+09:40:48.00","FRB","","690.67","1.62","pc/cc","29.55","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","27687783","","","1","1","2021-06-09","","","2019-01-22 13:14:22.851","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55688","FRB 20190122B","00:10:12.000","+35:07:12.00","FRB","","467.46","1.62","pc/cc","54.52","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","27620221","","","1","1","2021-06-09","","","2019-01-22 00:03:23.190","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
