"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"55852","FRB 20190517C","05:50:09.600","+26:37:48.00","FRB","","334.82","1.62","pc/cc","187.24","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","39069820","","","1","1","2021-06-09","","","2019-05-17 22:06:43.006","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55851","FRB 20190517B","04:19:48.000","+73:39:00.00","FRB","20180814A","187.63","6.47","pc/cc","105.7","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","39054070","","","1","1","2020-03-27","","","2019-05-17 20:33:36.995","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"55847","FRB 20190516B","11:09:28.800","+07:21:36.00","FRB","","1235.77","6.47","pc/cc","33.38","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","38823503","","","1","1","2021-06-09","","","2019-05-16 03:38:00.407","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55112","FRB 20190516A","18:25:50.400","+81:25:12.00","FRB","20190212A","302.47","1.62","pc/cc","52.72","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","38833513","","","1","1","2020-03-27","","","2019-05-16 10:35:47.282","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"55846","FRB 20190515D","04:28:43.200","-05:00:36.00","FRB","","425.4","1.62","pc/cc","47.78","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","38794214","","","1","1","2021-06-09","","","2019-05-15 20:58:16.197","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55845","FRB 20190515C","02:07:00.000","+20:04:48.00","FRB","20190213A","653.47","6.47","pc/cc","43.05","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","38776825","","","1","1","2020-03-31","","","2019-05-15 18:33:47.247","CHIME_FRB_bot","","2020TNSFR.934....1Z","",""
"55844","FRB 20190515B","00:03:36.000","+03:24:36.00","FRB","","820.07","1.62","pc/cc","32.69","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","38756053","","","1","1","2021-06-09","","","2019-05-15 16:28:58.605","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55843","FRB 20190515A","20:40:33.600","+55:28:12.00","FRB","","452.9","12.94","pc/cc","157.2","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","38722076","","","1","1","2021-06-09","","","2019-05-15 13:07:40.630","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55842","FRB 20190502C","10:22:60.000","+83:15:00.00","FRB","","396.29","1.62","pc/cc","48.21","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","38588698","","","1","1","2021-06-09","","","2019-05-02 15:56:15.888","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55841","FRB 20190502B","14:07:50.400","+64:29:24.00","FRB","","917.12","1.62","pc/cc","34.1","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","38552211","","","1","1","2021-06-09","","","2019-05-02 07:30:49.749","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
