"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"55534","FRB 20181013A","17:31:26.400","+38:25:12.00","FRB","","308.94","1.62","pc/cc","48.06","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","17867970","","","1","1","2021-06-09","","","2018-10-13 00:04:30.086","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55556","FRB 20181012B","13:45:09.600","+64:06:36.00","FRB","","713.32","1.62","pc/cc","33.69","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","17850790","","","1","1","2021-06-09","","","2018-10-12 20:22:26.859","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"70385","FRB 20180928A","20:51:48.000","+30:53:24.00","FRB","","250.71","1.62","pc/cc","159.31","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","17423783","","","1","1","2021-06-09","","","2018-09-28 04:24:31.505","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"55555","FRB 20180925B","09:41:57.600","+21:07:48.00","FRB","","668.03","1.62","pc/cc","39.77","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","17102379","","","1","1","2021-06-09","","","2018-09-25 17:26:59.423","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55530","FRB 20180925A","04:59:04.800","+78:00:00.00","FRB","","236.15","3.23","pc/cc","71.03","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","17080462","","","1","1","2021-06-09","","","2018-09-25 12:43:17.212","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"64976","FRB 20180924B","21:44:25.255","-40:54:00.10","FRB","","361.42","0.06","pc/cc","40.5","NE2001","","","","0.3214","FRBCAT","FRBCAT","","FRBCAT","FRB180924","","","1","1","","12.3","Clear-","2018-09-24 16:23:12.626","FRBCAT_bot","","2020TNSFR2470....1P","",""
"55554","FRB 20180924A","02:21:55.200","+37:31:48.00","FRB","","1114.46","1.62","pc/cc","69.55","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","16940121","","","1","1","2021-06-09","","","2018-09-24 10:08:46.422","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"70398","FRB 20180923D","11:16:16.800","+48:48:00.00","FRB","","328.35","1.62","pc/cc","30.79","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","16863746","","","1","1","2021-06-09","","","2018-09-23 19:06:51.596","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"70393","FRB 20180923C","17:49:40.800","+17:22:48.00","FRB","","173.07","1.62","pc/cc","78.47","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","16874224","","","1","1","2021-06-09","","","2018-09-23 23:47:24.512","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"64975","FRB 20180923B","15:10:55.400","-14:06:10.20","FRB","","548","3","pc/cc","46.6","NE2001","","","","","FRBCAT","FRBCAT","","FRBCAT","FRB180923","","","1","1","","0","BPSR-MB20","2018-09-23 04:03:38.060","FRBCAT_bot","","2020TNSFR2470....1P","",""
"55553","FRB 20180923A","18:06:26.400","+62:34:48.00","FRB","","218.36","1.62","pc/cc","49.32","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","16805714","","","1","1","2021-06-09","","","2018-09-23 05:42:50.599","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55527","FRB 20180922A","22:48:28.800","+69:49:12.00","FRB","","554.8","1.62","pc/cc","139.81","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","16704296","","","1","1","2021-06-09","","","2018-09-22 06:38:34.572","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"70394","FRB 20180921A","01:55:28.800","+05:03:00.00","FRB","","393.05","1.62","pc/cc","35.39","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","16585411","","","1","1","2021-06-09","","","2018-09-21 09:54:02.916","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
