"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"55766","FRB 20190318A","21:29:33.600","+74:27:36.00","FRB","","420.55","6.47","pc/cc","84.16","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","33608704","","","1","1","2021-06-09","","","2019-03-18 17:44:02.739","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"61475","FRB 20190317F","15:45:07.200","+47:03:00.00","FRB","","1125.78","12.94","pc/cc","33.42","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","33469603","","","1","1","2021-06-09","","","2019-03-17 12:09:55.141","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"55765","FRB 20190317E","18:17:02.400","+13:14:24.00","FRB","","800.66","1.62","pc/cc","133.41","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","33476150","","","1","1","2021-06-09","","","2019-03-17 14:40:52.462","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55763","FRB 20190317C","08:23:21.600","+32:03:00.00","FRB","","601.71","6.47","pc/cc","54.01","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","33443133","","","1","1","2021-06-09","","","2019-03-17 04:47:02.484","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55762","FRB 20190317B","06:40:40.800","+49:43:48.00","FRB","","425.4","1.62","pc/cc","82.54","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","33436763","","","1","1","2021-06-09","","","2019-03-17 03:03:02.005","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55761","FRB 20190317A","05:49:48.000","+44:39:36.00","FRB","","1156.51","1.62","pc/cc","137.87","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","33426022","","","1","1","2021-06-09","","","2019-03-17 02:14:27.614","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55760","FRB 20190316A","00:21:07.200","+20:30:36.00","FRB","","515.98","1.62","pc/cc","38.92","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","33362684","","","1","1","2021-06-09","","","2019-03-16 20:42:14.268","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55759","FRB 20190313B","06:41:04.800","+74:08:24.00","FRB","","1192.1","1.62","pc/cc","60.67","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","33130951","","","1","1","2021-06-09","","","2019-03-13 03:20:06.453","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55108","FRB 20190313A","12:41:33.600","+65:07:48.00","FRB","20181119A","365.55","3.23","pc/cc","34","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","33184804","","","1","1","2020-03-27","","","2019-03-13 09:21:46.707","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"55758","FRB 20190309A","18:35:48.000","+52:24:36.00","FRB","","357.47","1.62","pc/cc","58.75","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32519397","","","1","1","2021-06-09","","","2019-03-09 15:26:36.731","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"61489","FRB 20190308C","12:34:28.800","+44:22:48.00","FRB","","498.19","6.47","pc/cc","23.01","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32492404","","","1","1","2021-06-09","","","2019-03-08 09:30:42.224","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"55757","FRB 20190308B","02:57:12.000","+83:31:48.00","FRB","","179.54","1.62","pc/cc","68.18","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32493419","","","1","1","2021-06-09","","","2019-03-08 11:12:28.350","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55755","FRB 20190307B","17:57:45.600","+38:24:00.00","FRB","","291.15","6.47","pc/cc","55.3","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32421243","","","1","1","2021-06-09","","","2019-03-07 14:58:46.870","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55754","FRB 20190307A","16:58:21.600","+09:51:00.00","FRB","","352.61","3.23","pc/cc","58.13","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32421118","","","1","1","2021-06-09","","","2019-03-07 13:57:47.099","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55753","FRB 20190304C","14:52:12.000","+26:42:36.00","FRB","","564.51","1.62","pc/cc","22.11","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32415358","","","1","1","2021-06-09","","","2019-03-04 12:01:47.907","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55752","FRB 20190304B","13:39:31.200","+24:11:24.00","FRB","","470.69","1.62","pc/cc","22.7","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32415255","","","1","1","2021-06-09","","","2019-03-04 10:53:01.153","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55751","FRB 20190304A","08:26:16.800","+74:36:00.00","FRB","","483.63","1.62","pc/cc","49.2","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32407381","","","1","1","2021-06-09","","","2019-03-04 05:28:11.480","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55750","FRB 20190303D","11:57:52.800","+70:50:24.00","FRB","","710.08","1.62","pc/cc","37.04","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32329516","","","1","1","2021-06-09","","","2019-03-03 09:23:51.717","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55749","FRB 20190303C","11:33:04.800","+26:19:12.00","FRB","","1088.58","1.62","pc/cc","22.99","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32329490","","","1","1","2021-06-09","","","2019-03-03 08:50:58.591","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55748","FRB 20190303B","08:33:04.800","+65:54:00.00","FRB","","192.48","1.62","pc/cc","47.29","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32328347","","","1","1","2021-06-09","","","2019-03-03 05:50:25.018","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55107","FRB 20190303A","13:52:19.200","+48:15:00.00","FRB","20190303A","223.21","3.23","pc/cc","29.36","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32329698","","","1","1","2020-03-27","","","2019-03-03 11:05:16.892","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"56376","FRB 20190302B","04:54:31.200","+62:58:48.00","FRB","20181128A","452.9","12.94","pc/cc","114.29","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32227968","","","1","1","2020-03-27","","","2019-03-02 02:19:57.108","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"55747","FRB 20190302A","02:19:04.800","+61:20:24.00","FRB","","1009.29","25.88","pc/cc","209.67","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32300572","","","1","1","2021-06-09","","","2019-03-02 23:37:08.174","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55746","FRB 20190301D","18:34:21.600","+74:44:24.00","FRB","","1159.75","1.62","pc/cc","53","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32137636","","","1","1","2021-06-09","","","2019-03-01 15:49:33.708","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55745","FRB 20190301C","11:25:21.600","+34:55:48.00","FRB","","805.51","3.23","pc/cc","21.02","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32128154","","","1","1","2021-06-09","","","2019-03-01 08:49:22.286","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55744","FRB 20190301B","04:37:33.600","+74:04:48.00","FRB","","619.5","1.62","pc/cc","83.12","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32111901","","","1","1","2021-06-09","","","2019-03-01 02:04:03.969","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55106","FRB 20190301A","20:36:50.400","+69:51:00.00","FRB","20190222A","460.99","1.62","pc/cc","81.65","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32158184","","","1","1","2020-03-27","","","2019-03-01 18:03:02.480","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"55743","FRB 20190228B","03:26:33.600","+81:55:48.00","FRB","","1125.78","12.94","pc/cc","71.09","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32032933","","","1","1","2021-06-09","","","2019-02-28 12:44:43.995","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55742","FRB 20190228A","12:11:31.200","+22:54:00.00","FRB","","439.95","25.88","pc/cc","20.44","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","32031677","","","1","1","2021-06-09","","","2019-02-28 09:41:00.987","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55741","FRB 20190227B","14:42:09.600","+39:51:00.00","FRB","","331.59","1.62","pc/cc","23.93","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","31944174","","","1","1","2021-06-09","","","2019-02-27 12:11:09.865","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55740","FRB 20190227A","07:15:50.400","+56:15:00.00","FRB","","393.05","1.62","pc/cc","62.9","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","31938812","","","1","1","2021-06-09","","","2019-02-27 04:43:35.666","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55739","FRB 20190226C","01:09:57.600","+26:45:00.00","FRB","","826.54","1.62","pc/cc","44.6","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","31906992","","","1","1","2021-06-09","","","2019-02-26 22:45:19.460","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55738","FRB 20190226B","18:14:09.600","+61:49:12.00","FRB","","630.82","3.23","pc/cc","50.61","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","31851655","","","1","1","2021-06-09","","","2019-02-26 15:48:01.116","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
