"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"55909","FRB 20190619B","15:25:50.400","+82:09:00.00","FRB","","270.12","1.62","pc/cc","46.11","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41750859","","","1","1","2021-06-09","","","2019-06-19 05:45:49.611","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55908","FRB 20190619A","11:00:28.800","+68:22:12.00","FRB","","897.71","1.62","pc/cc","37.73","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41742525","","","1","1","2021-06-09","","","2019-06-19 01:16:36.549","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55907","FRB 20190618A","21:25:04.800","+25:25:48.00","FRB","","228.07","1.62","pc/cc","77.24","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41710598","","","1","1","2021-06-09","","","2019-06-18 11:42:12.446","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55906","FRB 20190617C","08:57:33.600","+35:42:00.00","FRB","","637.29","3.23","pc/cc","45.38","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41692959","","","1","1","2021-06-09","","","2019-06-17 23:13:37.632","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55905","FRB 20190617B","03:45:52.800","+01:09:36.00","FRB","","274.97","3.23","pc/cc","43.76","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41683788","","","1","1","2021-06-09","","","2019-06-17 18:05:00.618","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55904","FRB 20190617A","11:48:02.400","+83:52:12.00","FRB","","195.72","1.62","pc/cc","47.45","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41643446","","","1","1","2021-06-09","","","2019-06-17 02:12:39.586","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55903","FRB 20190616A","15:36:16.800","+34:29:24.00","FRB","","211.89","1.62","pc/cc","25.45","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41597828","","","1","1","2021-06-09","","","2019-06-16 05:56:36.690","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"60777","FRB 20190614D","04:20:18.125","+73:42:24.26","FRB","","959.2","5","pc/cc","83.5","NE2001","2019-06-14 01:13:02.010","","","","VLA-realfast","VLA-realfast","","VLA-realfast","19A-331.sb36775590.eb36779715.58647.98210152778.46.1_seg99-i58-dm206-dt0","","","1","1","","124","Other-","2019-06-14 01:13:02.010","Law","","2020TNSFR1613....1L","",""
"55902","FRB 20190614C","23:46:09.600","+35:54:36.00","FRB","","585.53","3.23","pc/cc","57.48","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41507681","","","1","1","2021-06-09","","","2019-06-14 14:13:10.527","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55901","FRB 20190614B","22:11:33.600","+24:41:24.00","FRB","","580.68","1.62","pc/cc","54.97","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41499288","","","1","1","2021-06-09","","","2019-06-14 12:41:33.414","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55900","FRB 20190614A","11:53:43.200","+88:18:36.00","FRB","","1062.7","1.62","pc/cc","52.91","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41473417","","","1","1","2021-06-09","","","2019-06-14 03:46:15.468","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55899","FRB 20190613B","04:23:40.800","+42:40:12.00","FRB","","286.3","1.62","pc/cc","169.37","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41464641","","","1","1","2021-06-09","","","2019-06-13 18:56:23.294","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55898","FRB 20190613A","17:09:43.200","+18:51:00.00","FRB","","714.93","3.23","pc/cc","53.55","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41422618","","","1","1","2021-06-09","","","2019-06-13 07:45:23.905","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"61446","FRB 20190612C","05:15:26.400","+61:00:00.00","FRB","","1638.52","1.62","pc/cc","108.46","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41412448","","","1","1","2021-06-09","","","2019-06-12 19:59:13.135","CHIME_FRB_bot","","2021TNSFR2008....1C","",""
"55897","FRB 20190612B","14:48:60.000","+04:07:48.00","FRB","","186.01","1.62","pc/cc","27.94","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41366878","","","1","1","2021-06-09","","","2019-06-12 05:30:42.767","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55896","FRB 20190612A","09:52:21.600","+70:25:12.00","FRB","","427.02","12.94","pc/cc","41.64","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41365524","","","1","1","2021-06-09","","","2019-06-12 00:36:59.691","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"64986","FRB 20190611B","21:22:58.910","-79:23:51.30","FRB","","321.4","0.2","pc/cc","57.83","NE2001","","","","0.378","FRBCAT","FRBCAT","","FRBCAT","FRB190611","","","1","1","","0","Clear-","2019-06-11 05:45:43.299","FRBCAT_bot","","2020TNSFR2470....1P","",""
"56378","FRB 20190611A","04:05:31.200","+73:38:24.00","FRB","20180814A","187.63","6.47","pc/cc","88.35","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41358073","","","1","1","2020-03-27","","","2019-06-11 18:52:42.513","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"55895","FRB 20190609D","07:42:43.200","+51:41:24.00","FRB","","509.51","1.62","pc/cc","57.8","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41257959","","","1","1","2021-06-09","","","2019-06-09 22:33:14.595","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55894","FRB 20190609C","04:52:50.400","+24:03:36.00","FRB","","480.4","1.62","pc/cc","112.89","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41252817","","","1","1","2021-06-09","","","2019-06-09 19:39:09.331","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55893","FRB 20190609B","14:06:52.800","+88:12:36.00","FRB","","292.77","1.62","pc/cc","53.09","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41242296","","","1","1","2021-06-09","","","2019-06-09 16:47:41.165","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55892","FRB 20190609A","23:08:02.400","+87:57:00.00","FRB","","315.41","1.62","pc/cc","58.02","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41208961","","","1","1","2021-06-09","","","2019-06-09 02:46:02.164","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"64985","FRB 20190608B","22:16:04.750","-07:53:53.60","FRB","","338.7","0.5","pc/cc","37.2","NE2001","","","","0.1178","FRBCAT","FRBCAT","","FRBCAT","FRB190608","","","1","1","","0","Clear-","2019-06-08 22:48:12.883","FRBCAT_bot","","2020TNSFR2470....1P","",""
"55891","FRB 20190608A","23:57:02.400","+19:10:12.00","FRB","","719.79","1.62","pc/cc","38.78","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41189480","","","1","1","2021-06-09","","","2019-06-08 14:53:12.280","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55890","FRB 20190607B","02:48:04.800","+49:37:48.00","FRB","","289.53","1.62","pc/cc","138.66","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41119469","","","1","1","2021-06-09","","","2019-06-07 17:41:57.804","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55889","FRB 20190607A","01:44:57.600","+23:34:12.00","FRB","","559.65","3.23","pc/cc","43.88","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41109556","","","1","1","2021-06-09","","","2019-06-07 16:39:32.642","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55888","FRB 20190606B","07:12:43.200","+86:51:36.00","FRB","","274.97","3.23","pc/cc","54.91","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","41006263","","","1","1","2021-06-09","","","2019-06-06 22:19:38.289","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
