"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"55625","FRB 20181219B","12:03:60.000","+71:32:24.00","FRB","","1950.7","3.23","pc/cc","37.27","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","23062381","","","1","1","2021-06-09","","","2018-12-19 02:07:50.829","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55088","FRB 20181219A","04:55:45.600","+63:23:24.00","FRB","20181128A","449.66","3.23","pc/cc","111.66","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","23110229","","","1","1","2020-03-27","","","2018-12-19 07:04:41.690","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"55624","FRB 20181218C","19:03:50.400","+58:14:24.00","FRB","","384.96","3.23","pc/cc","64.33","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22989767","","","1","1","2021-06-09","","","2018-12-18 21:15:57.429","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55623","FRB 20181218B","01:11:45.600","+69:23:24.00","FRB","","752.14","1.62","pc/cc","169.66","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22906789","","","1","1","2021-06-09","","","2018-12-18 03:34:08.746","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55622","FRB 20181218A","00:19:52.800","+71:17:24.00","FRB","","1873.06","3.23","pc/cc","148.06","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22903158","","","1","1","2021-06-09","","","2018-12-18 02:37:46.601","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55621","FRB 20181217A","19:21:52.800","+59:48:36.00","FRB","","1175.92","1.62","pc/cc","69.6","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22835409","","","1","1","2021-06-09","","","2018-12-17 21:34:49.373","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55620","FRB 20181216A","20:25:04.800","+53:31:12.00","FRB","","541.86","1.62","pc/cc","146.73","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22683185","","","1","1","2021-06-09","","","2018-12-16 22:44:42.252","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55619","FRB 20181215B","16:59:19.200","+47:35:24.00","FRB","","493.34","1.62","pc/cc","40.65","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22574084","","","1","1","2021-06-09","","","2018-12-15 19:20:44.050","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55618","FRB 20181215A","06:13:36.000","+39:23:24.00","FRB","","412.46","1.62","pc/cc","128.29","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22551225","","","1","1","2021-06-09","","","2018-12-15 08:39:37.396","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55617","FRB 20181214F","16:50:40.800","+32:26:24.00","FRB","","2105.98","3.23","pc/cc","40.12","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22482847","","","1","1","2021-06-09","","","2018-12-14 19:19:07.870","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55615","FRB 20181214D","11:54:16.800","+46:42:36.00","FRB","","1171.07","6.47","pc/cc","26.09","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22457860","","","1","1","2021-06-09","","","2018-12-14 14:20:56.259","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55614","FRB 20181214C","11:43:26.400","+60:07:12.00","FRB","","632.44","1.62","pc/cc","33.53","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22457855","","","1","1","2021-06-09","","","2018-12-14 14:16:32.852","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55613","FRB 20181214B","09:15:12.000","+42:12:00.00","FRB","","1120.93","1.62","pc/cc","42.16","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","22456180","","","1","1","2021-06-09","","","2018-12-14 11:40:20.973","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
